video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
ZDk03lHV47Q,,,0,0,0,2019-04-08 11:12:40.657771
3Zew8pLSlwQ,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11103017,30499,5497243646,2019-04-08 11:12:41.987114
KORiXf-u21Y,UCxFt75OIIvoN4AaL7lJxtTg,2006-03-16T01:35:04.000Z,774485,2987,229486794,2019-04-08 11:12:43.206709
xJrOUJpCxOE,,,0,0,0,2019-04-08 11:12:44.668074
ywcNsJb2v2U,UCqeekxc7CKRYHNV9PVV_HCQ,2013-08-24T20:16:07.000Z,810520,73,154373374,2019-04-08 11:12:46.067684
__Wd-iOZQ6k,,,0,0,0,2019-04-08 11:12:47.253151
woDDGmpV2KE,UCq4isO8ZYOZfmvGJ-_1UdIA,2007-09-15T22:48:48.000Z,556018,2995,243678389,2019-04-08 11:12:48.488999
JOwmqPPkjww,UCdu8QrpJd6rdHU9fHl8J01A,2006-09-14T00:20:57.000Z,3953330,405,879507645,2019-04-08 11:12:49.677969
1mpdJcGj8Qg,,,0,0,0,2019-04-08 11:12:50.858980
WmQR7X9SdeU,UC52X5wxOL_s5yw0dQk7NtgA,2006-09-18T22:46:11.000Z,961460,124934,2096781185,2019-04-08 11:12:52.081569
SJsvPv5Q_oY,,,0,0,0,2019-04-08 11:12:53.263892
LIEOeqNRikk,UCtwpFum0SV_9FtlPKrlDc0w,2010-01-27T17:23:02.000Z,7,6,41315,2019-04-08 11:12:59.536594
IzbcIFW1qB0,UC9k-yiEpRHMNVOnOi_aQK8w,2012-10-09T00:36:32.000Z,5864024,16622,6892310215,2019-04-08 11:13:03.732676
3jcolXvi8IA,,,0,0,0,2019-04-08 11:13:04.949816
de8K18_G0qk,UCIUc-1RSAK56qZZrZowseTA,2010-03-03T22:22:27.000Z,13047,12,2145303,2019-04-08 11:13:06.202122
U41Pm93Ej2c,UC9Y0_CVu1cPfN8Dm00pJv9g,2012-11-30T17:06:23.000Z,2805,1911,3201727,2019-04-08 11:13:07.455109
OG2C2KgtRRU,UCbo3kYorPCVQ33YS6ua5QBA,2010-06-08T17:35:06.000Z,15536,28,17289035,2019-04-08 11:13:08.688914
u2HVB-9lC3U,UCIRYBXDze5krPDzAEOxFGVA,2014-10-22T09:51:00.000Z,378615,4003,387114970,2019-04-08 11:13:09.913889
rBUjOY12gJA,,,0,0,0,2019-04-08 11:13:11.142657
C1fRIyBW4kk,UCosJ8JrgjHosnZboqS0YGuA,2006-06-25T12:22:08.000Z,54954,39,5853775,2019-04-08 11:13:12.400041
lr4MmmWQtZM,,,0,0,0,2019-04-08 11:13:13.584263
6OcOO1k-vGE,UC2pmfLm7iq6Ov1UwYrWYkZA,2006-04-14T17:07:29.000Z,18262886,1564,574057499,2019-04-08 11:13:14.762471
u7KZrt_cHH0,UCafnP6JPjVq8AahYaThUelg,2014-10-20T17:37:31.000Z,66637,260,218029110,2019-04-08 11:13:16.444580
TdcS2LMQ5Ck,UCq4isO8ZYOZfmvGJ-_1UdIA,2007-09-15T22:48:48.000Z,556018,2995,243678389,2019-04-08 11:13:17.671197
tfuZKI4sTp8,UCeH6qE4V7n5tVwP7NkdrtJg,2007-09-06T19:59:45.000Z,639244,2431,395874681,2019-04-08 11:13:18.852636
Ct9BFr9XBaI,UCwLK17rpMFUfktQEcMzSyWg,2016-08-22T17:01:00.000Z,350621,32,681950180,2019-04-08 11:13:20.220190
6HOO1d3ltA8,UC8p1vwvWtl6T73JiExfWs1g,2006-09-27T13:38:41.000Z,1479714,68544,1036900279,2019-04-08 11:13:22.149075
OL4LNg-iyY4,UCXJDX1KK6t121Z9FLhu5o2A,2009-05-12T05:29:03.000Z,7543403,125,4509992684,2019-04-08 11:13:23.383108
D-IkMEDaNQY,,,0,0,0,2019-04-08 11:13:24.674963
d2sJNee7FQ4,UCWOA1ZGywLbqmigxE4Qlvuw,2012-07-17T20:45:36.000Z,8500987,2774,1719691802,2019-04-08 11:13:25.937099
IBVo8dfqTBc,UCJ5v_MCY6GNUBTO8-D3XoAg,2007-05-11T01:20:02.000Z,41670001,40635,31196457293,2019-04-08 11:13:27.184299
S9Xg6iUxYXU,UCHd62-u_v4DvJ8TCFtpi4GA,2006-06-30T21:32:19.000Z,630630,12380,337611846,2019-04-08 11:13:28.428179
